item_index,image_word,condition,rating,max_probability,top_one_token,p1,p2,p3,p4,p5,total_probability_mass
0,library,congruent,1.953125,0.52734375,1,0.52734375,0.1943359375,0.07177734375,0.1943359375,0.00970458984375,0.99609375
0,refrigerator,congruent,4.125,0.74609375,4,0.0155029296875,0.00732421875,0.017578125,0.74609375,0.2138671875,1.0
0,library,incongruent,1.0078125,0.99609375,1,0.99609375,0.005218505859375,8.440017700195312e-05,4.506111145019531e-05,3.981590270996094e-05,1.0
0,refrigerator,incongruent,1.0,1.0,1,1.0,0.000431060791015625,1.8700957298278809e-06,1.0654330253601074e-06,2.3990869522094727e-06,1.0
1,delight,congruent,4.96875,0.98046875,5,5.960464477539062e-07,2.998858690261841e-07,1.7285346984863281e-06,0.0179443359375,0.98046875,1.0
1,disappointment,congruent,1.0078125,0.99609375,1,0.99609375,0.0027923583984375,0.0002593994140625,0.001495361328125,2.4199485778808594e-05,1.0
1,delight,incongruent,1.0,1.0,1,1.0,0.0006256103515625,1.4603137969970703e-06,6.007030606269836e-08,3.474269760772586e-10,1.0
1,disappointment,incongruent,1.65625,0.7734375,1,0.7734375,0.0133056640625,0.000934600830078125,0.2080078125,0.004608154296875,1.0
2,overcoat,congruent,3.15625,0.6640625,4,0.1904296875,0.130859375,0.0137939453125,0.6640625,0.0014495849609375,1.0
2,sandals,congruent,3.90625,0.90234375,4,0.00537109375,0.0019683837890625,0.083984375,0.90234375,0.00689697265625,1.0
2,overcoat,incongruent,1.0,1.0,1,1.0,6.198883056640625e-05,1.2759119272232056e-07,4.98257577419281e-08,1.4435499906539917e-07,1.0
2,sandals,incongruent,1.0,1.0,1,1.0,0.0002956390380859375,1.8700957298278809e-06,3.46451997756958e-07,2.5331974029541016e-07,1.0
3,exam,congruent,3.90625,0.88671875,4,0.00677490234375,0.00982666015625,0.07275390625,0.88671875,0.023681640625,1.0
3,marathon,congruent,1.0234375,0.98046875,1,0.98046875,0.015869140625,0.00089263916015625,0.00189208984375,0.00054168701171875,1.0
3,exam,incongruent,1.0078125,0.9921875,1,0.9921875,0.006683349609375,2.9087066650390625e-05,0.00010824203491210938,2.002716064453125e-05,1.0
3,marathon,incongruent,1.0390625,0.96875,1,0.96875,0.02587890625,0.00128936767578125,0.002410888671875,0.0003261566162109375,1.0
4,menu,congruent,3.984375,0.9921875,4,0.0002593994140625,0.003814697265625,0.000965118408203125,0.9921875,0.0012359619140625,1.0
4,prescription,congruent,4.0625,0.90625,4,0.00119781494140625,0.004180908203125,0.006103515625,0.90625,0.083984375,1.0
4,menu,incongruent,3.109375,0.55078125,4,0.08447265625,0.294921875,0.06591796875,0.55078125,0.005401611328125,1.0
